iter	RMSE
0	38.26590457
1	37.87553615
2	37.49070436
3	37.12256497
4	36.76269474
5	36.41089523
6	36.06543282
7	35.76044355
8	35.42834125
9	35.11409608
10	34.80623642
11	34.51029642
12	34.23229957
13	33.93089628
14	33.65026326
15	33.37215196
16	33.0948781
17	32.81905156
18	32.57998976
19	32.33240586
20	32.07902546
21	31.83773387
22	31.59462361
23	31.36308255
24	31.12882655
25	30.92837043
26	30.70376112
27	30.4850907
28	30.27901137
29	30.07093829
30	29.89273078
31	29.69344391
32	29.50956135
33	29.32967796
34	29.15159714
35	28.97563656
36	28.80577631
37	28.63951146
38	28.47227235
39	28.30459766
40	28.14246256
41	27.98072212
42	27.84255494
43	27.69554785
44	27.55612021
45	27.40902362
46	27.26876079
47	27.12586099
48	26.99476693
49	26.86623831
50	26.73985935
51	26.60861897
52	26.49609401
53	26.37193464
54	26.26449333
55	26.14618024
56	26.03064176
57	25.92337143
58	25.81221382
59	25.7142378
60	25.61446827
61	25.51953259
62	25.42547771
63	25.33221151
64	25.24893484
65	25.16573681
66	25.07938331
67	24.99036623
68	24.90855317
69	24.83574593
70	24.76659683
71	24.68039857
72	24.60632682
73	24.53425369
74	24.46013243
75	24.39957357
76	24.33704782
77	24.26979623
78	24.2048898
79	24.13898902
80	24.07305489
81	24.00827651
82	23.94080074
83	23.88220026
84	23.82758143
85	23.76558769
86	23.70961641
87	23.6489491
88	23.59209851
89	23.53827947
90	23.47934304
91	23.42988582
92	23.37427223
93	23.32045629
94	23.27311954
95	23.22991113
96	23.17927043
97	23.12789895
98	23.08075646
99	23.04093259
100	23.00294687
101	22.9637655
102	22.9238065
103	22.88131386
104	22.84493315
105	22.80828156
106	22.77645012
107	22.74069011
108	22.70016736
109	22.66513836
110	22.62713885
111	22.59497191
112	22.56486141
113	22.53383403
114	22.4973299
115	22.46556617
116	22.42751276
117	22.39241379
118	22.35667444
119	22.32725305
120	22.30116396
121	22.26708702
122	22.24277711
123	22.21205137
124	22.18439517
125	22.15745961
126	22.13560248
127	22.11037774
128	22.08344765
129	22.06092071
130	22.0370876
131	22.00740283
132	21.98522276
133	21.96008294
134	21.93680922
135	21.9203669
136	21.89867182
137	21.87999227
138	21.85637289
139	21.82929903
140	21.80648589
141	21.7896072
142	21.76758651
143	21.74855022
144	21.72678772
145	21.70131042
146	21.67900324
147	21.65600298
148	21.63628004
149	21.62006034
150	21.59881415
151	21.57592092
152	21.56035357
153	21.54607527
154	21.52434454
155	21.50486638
156	21.48465998
157	21.46632063
158	21.45204774
159	21.43091574
160	21.41916569
161	21.40220914
162	21.39113274
163	21.36923837
164	21.35172425
165	21.33895082
166	21.32494042
167	21.30446829
168	21.29281942
169	21.27785673
170	21.26626298
171	21.25433341
172	21.24396609
173	21.22592985
174	21.21332764
175	21.19742846
176	21.18353502
177	21.16630884
178	21.15467329
179	21.13876303
180	21.12561619
181	21.11176013
182	21.0990163
183	21.0870285
184	21.07109542
185	21.05938746
186	21.04875785
187	21.03723168
188	21.0256443
189	21.01785757
190	21.00892396
191	20.9957776
192	20.98620692
193	20.97677622
194	20.96777498
195	20.96215347
196	20.95468426
197	20.9439394
198	20.9320893
199	20.92050157
200	20.90905287
201	20.89886354
202	20.88630434
203	20.8783579
204	20.87209996
205	20.86582244
206	20.8508957
207	20.84122691
208	20.82667877
209	20.81769803
210	20.80919181
211	20.79983916
212	20.78906227
213	20.77983663
214	20.77260986
215	20.75985128
216	20.75240296
217	20.74428486
218	20.73726887
219	20.73025182
220	20.72259764
221	20.71282336
222	20.70448473
223	20.698296
224	20.69193987
225	20.68578374
226	20.68025262
227	20.67120178
228	20.66374109
229	20.65801386
230	20.65105446
231	20.64456765
232	20.6379716
233	20.63119334
234	20.62405032
235	20.61849493
236	20.61087912
237	20.60054121
238	20.59345874
239	20.58792862
240	20.58203517
241	20.57226711
242	20.56700241
243	20.56215692
244	20.55691548
245	20.54963797
246	20.54509496
247	20.54051937
248	20.53167151
249	20.52616066
250	20.52086497
251	20.51401049
252	20.50533705
253	20.50053181
254	20.4927065
255	20.48701587
256	20.478926
257	20.47340498
258	20.46986006
259	20.463713
260	20.45886933
261	20.45266099
262	20.44734136
263	20.4415224
264	20.43725985
265	20.43146081
266	20.42715656
267	20.42011467
268	20.41581168
269	20.40965839
270	20.40019202
271	20.39377631
272	20.3897445
273	20.38458328
274	20.38126
275	20.37558679
276	20.37268622
277	20.36887411
278	20.36411093
279	20.35464848
280	20.34669742
281	20.33962363
282	20.33331275
283	20.32737681
284	20.32105563
285	20.31597554
286	20.3062315
287	20.30241912
288	20.299844
289	20.29081517
290	20.28734209
291	20.27792207
292	20.27204754
293	20.26742307
294	20.26226656
295	20.25835384
296	20.25489881
297	20.24860733
298	20.24266888
299	20.23935629
300	20.23627883
301	20.23182512
302	20.22711249
303	20.22219576
304	20.2175319
305	20.2151429
306	20.20946343
307	20.20382262
308	20.19800226
309	20.19145319
310	20.18619196
311	20.18166029
312	20.17860032
313	20.17134099
314	20.16837741
315	20.16160622
316	20.15624384
317	20.15150933
318	20.14784793
319	20.1437203
320	20.13987054
321	20.13510641
322	20.132611
323	20.12970069
324	20.12578376
325	20.12212365
326	20.11807003
327	20.11447653
328	20.10907087
329	20.10528175
330	20.09925875
331	20.09651811
332	20.09089569
333	20.08681748
334	20.08186499
335	20.07906281
336	20.07717737
337	20.07048673
338	20.06521915
339	20.0602404
340	20.0562988
341	20.05212032
342	20.04657195
343	20.04226328
344	20.03756179
345	20.03148096
346	20.02791826
347	20.0213214
348	20.01708987
349	20.01102489
350	20.00814069
351	20.00620639
352	20.00312419
353	19.99792957
354	19.99588742
355	19.99149877
356	19.98746554
357	19.98293136
358	19.97786918
359	19.97595028
360	19.97236074
361	19.96817721
362	19.96422921
363	19.95958142
364	19.95682295
365	19.9531091
366	19.94975573
367	19.94705461
368	19.93920294
369	19.93559792
370	19.92897564
371	19.92456368
372	19.91968618
373	19.91639961
374	19.91306704
375	19.90883321
376	19.90593032
377	19.9026858
378	19.89643045
379	19.89178395
380	19.88881067
381	19.88175687
382	19.87831642
383	19.87349179
384	19.86718545
385	19.86370681
386	19.85933616
387	19.85071258
388	19.84827896
389	19.84550018
390	19.84246407
391	19.83572114
392	19.82980347
393	19.82607621
394	19.82231271
395	19.81788961
396	19.81459726
397	19.81140923
398	19.80800251
399	19.80366835
400	19.797644
401	19.79168132
402	19.78777915
403	19.7834053
404	19.77926842
405	19.77475385
406	19.7709672
407	19.76746993
408	19.76402819
409	19.76230568
410	19.75887882
411	19.75227207
412	19.7496038
413	19.74682916
414	19.74419713
415	19.74005118
416	19.73715468
417	19.73345417
418	19.73132383
419	19.72836287
420	19.72370084
421	19.72092139
422	19.71543179
423	19.71192957
424	19.70668963
425	19.70278718
426	19.69934798
427	19.69406251
428	19.68977112
429	19.68604248
430	19.68181904
431	19.67889746
432	19.67424622
433	19.66914137
434	19.66364674
435	19.65985889
436	19.65553943
437	19.65328739
438	19.65071473
439	19.64632993
440	19.64150892
441	19.63922055
442	19.63596833
443	19.63162574
444	19.6271218
445	19.62007477
446	19.61639964
447	19.61044656
448	19.60700987
449	19.60247813
450	19.59859641
451	19.59641147
452	19.593325
453	19.58916822
454	19.58560013
455	19.5816125
456	19.57672077
457	19.57316113
458	19.5705645
459	19.56609934
460	19.56376054
461	19.56133369
462	19.55824766
463	19.5552645
464	19.55278229
465	19.54912688
466	19.54522454
467	19.54089824
468	19.53794308
469	19.53450697
470	19.52979947
471	19.52541751
472	19.52013808
473	19.51650027
474	19.51137025
475	19.50735667
476	19.50182756
477	19.49846965
478	19.49188729
479	19.48785578
480	19.48461353
481	19.47988332
482	19.47640217
483	19.47208504
484	19.46743364
485	19.4618796
486	19.4588956
487	19.45502059
488	19.45271253
489	19.44857232
490	19.44434159
491	19.44109184
492	19.43896487
493	19.43447317
494	19.43039731
495	19.4258577
496	19.42219745
497	19.41788004
498	19.41380021
499	19.41166323
500	19.40715462
501	19.4019378
502	19.3972043
503	19.3932257
504	19.38974656
505	19.38546158
506	19.38145347
507	19.37900911
508	19.37626787
509	19.37133852
510	19.36659773
511	19.36157449
512	19.35723078
513	19.35283928
514	19.34786146
515	19.34159604
516	19.33827925
517	19.33323765
518	19.32891919
519	19.32503295
520	19.32090251
521	19.31820061
522	19.31595149
523	19.31048083
524	19.30702336
525	19.30297639
526	19.29852459
527	19.2951212
528	19.29116334
529	19.2862707
530	19.28258076
531	19.2774026
532	19.27480741
533	19.27101199
534	19.26590815
535	19.26110714
536	19.25748036
537	19.2515827
538	19.24881472
539	19.24492892
540	19.24152169
541	19.23594719
542	19.23195788
543	19.22778107
544	19.22525827
545	19.22132513
546	19.21667722
547	19.21238038
548	19.20911752
549	19.20578915
550	19.20136333
551	19.19715658
552	19.1926861
553	19.19007337
554	19.18646318
555	19.18225375
556	19.1792673
557	19.17603643
558	19.17238558
559	19.16842989
560	19.16425195
561	19.16038572
562	19.15573769
563	19.15108839
564	19.14715008
565	19.14342222
566	19.13974467
567	19.13600653
568	19.13207538
569	19.1278775
570	19.12393053
571	19.12017838
572	19.11517961
573	19.11146643
574	19.10619117
575	19.10314698
576	19.09928688
577	19.09732365
578	19.0930347
579	19.08940052
580	19.08620717
581	19.08247487
582	19.07695572
583	19.07456752
584	19.0692178
585	19.06469134
586	19.0604217
587	19.0576209
588	19.05277922
589	19.04983808
590	19.0443245
591	19.04092675
592	19.03778272
593	19.03378751
594	19.03016018
595	19.02699477
596	19.02342809
597	19.0188115
598	19.01523943
599	19.01202764
600	19.00543107
601	19.00251533
602	18.99943874
603	18.99699469
604	18.993155
605	18.98980794
606	18.98749704
607	18.98343594
608	18.98009775
609	18.97749728
610	18.97484818
611	18.9711849
612	18.96825909
613	18.9651495
614	18.96176301
615	18.95841761
616	18.95351676
617	18.947411
618	18.94308542
619	18.94079694
620	18.93707187
621	18.93472952
622	18.93227167
623	18.92974627
624	18.92653026
625	18.9233062
626	18.9207271
627	18.91839274
628	18.91402219
629	18.91118332
630	18.90905853
631	18.90520368
632	18.90287887
633	18.89928374
634	18.89721998
635	18.89341205
636	18.88816882
637	18.88484955
638	18.88124049
639	18.87659207
640	18.87226823
641	18.8667474
642	18.86512651
643	18.85978037
644	18.85685556
645	18.85388892
646	18.85215786
647	18.84899827
648	18.84582806
649	18.8428125
650	18.83946041
651	18.83512967
652	18.83110828
653	18.82646302
654	18.82264539
655	18.8184919
656	18.81589399
657	18.81130678
658	18.8085778
659	18.80565926
660	18.80220127
661	18.7980985
662	18.79457329
663	18.78937917
664	18.78439648
665	18.77976247
666	18.77588916
667	18.77230562
668	18.76895398
669	18.76424886
670	18.76226771
671	18.76032606
672	18.75556005
673	18.75252643
674	18.74981151
675	18.74796286
676	18.74682229
677	18.74412373
678	18.74120015
679	18.73718368
680	18.73437342
681	18.72985784
682	18.72645657
683	18.72273085
684	18.71903024
685	18.71708645
686	18.71486378
687	18.71096577
688	18.70811875
689	18.7053718
690	18.70114824
691	18.69716012
692	18.69383691
693	18.69056571
694	18.68593575
695	18.68239671
696	18.67853476
697	18.67580994
698	18.67346505
699	18.67078423
700	18.66797527
701	18.66382112
702	18.66084253
703	18.65554134
704	18.6533322
705	18.64918041
706	18.64441933
707	18.64138333
708	18.63844265
709	18.63593732
710	18.6331224
711	18.62845588
712	18.6250397
713	18.62226505
714	18.61853045
715	18.61367849
716	18.60968701
717	18.60692346
718	18.60380758
719	18.60242802
720	18.59913627
721	18.59719742
722	18.59251599
723	18.58893762
724	18.58551531
725	18.58200617
726	18.57818293
727	18.57499286
728	18.57118745
729	18.56971325
730	18.56430425
731	18.56063345
732	18.55600524
733	18.55311052
734	18.54957753
735	18.54626363
736	18.54301616
737	18.54059381
738	18.5379052
739	18.53414139
740	18.53058617
741	18.52916403
742	18.52559729
743	18.52257055
744	18.51843881
745	18.51536125
746	18.51160438
747	18.50818826
748	18.50636505
749	18.50199179
750	18.49955427
751	18.49590241
752	18.49148428
753	18.48746144
754	18.48448664
755	18.48182331
756	18.47995189
757	18.47643827
758	18.47306459
759	18.46972235
760	18.46683682
761	18.46439261
762	18.46119905
763	18.45890956
764	18.45478836
765	18.45174259
766	18.44920408
767	18.44693408
768	18.44393265
769	18.43887289
770	18.43596897
771	18.43318437
772	18.42891534
773	18.42665931
774	18.424965
775	18.42228327
776	18.41788884
777	18.41512844
778	18.41184648
779	18.40762436
780	18.40224028
781	18.39888854
782	18.39713742
783	18.39291113
784	18.38953738
785	18.38696075
786	18.38415661
787	18.38079344
788	18.37772912
789	18.37518068
790	18.37262779
791	18.36969327
792	18.36725207
793	18.36402619
794	18.36068234
795	18.35795798
796	18.3558435
797	18.3541845
798	18.35092149
799	18.34771958
800	18.34662573
801	18.34346363
802	18.33997577
803	18.33722822
804	18.33524077
805	18.33298132
806	18.33061496
807	18.32844729
808	18.32476907
809	18.32080021
810	18.3194197
811	18.31645439
812	18.31327552
813	18.30920058
814	18.30592203
815	18.30074767
816	18.29718083
817	18.29275123
818	18.28987839
819	18.28739416
820	18.28269565
821	18.2796899
822	18.27765573
823	18.27509842
824	18.27316537
825	18.27066009
826	18.26729088
827	18.26429364
828	18.26110102
829	18.25636256
830	18.2529902
831	18.24963782
832	18.24656429
833	18.24448698
