iter	Passed	Remaining
0	10	10502
1	17	8963
2	27	9161
3	38	9487
4	47	9500
5	58	9686
6	68	9677
7	79	9858
8	90	9998
9	101	10087
10	112	10085
11	122	10061
12	132	10080
13	143	10123
14	154	10159
15	165	10181
16	175	10163
17	185	10109
18	196	10140
19	206	10101
20	218	10201
21	230	10224
22	240	10218
23	251	10247
24	262	10225
25	273	10254
26	283	10231
27	300	10429
28	311	10434
29	322	10432
30	335	10476
31	346	10495
32	358	10503
33	369	10494
34	380	10504
35	392	10499
36	402	10468
37	413	10473
38	424	10468
39	437	10498
40	448	10483
41	459	10477
42	470	10468
43	480	10446
44	494	10499
45	504	10472
46	516	10468
47	527	10465
48	538	10454
49	549	10433
50	561	10451
51	569	10387
52	581	10397
53	593	10399
54	604	10378
55	615	10369
56	625	10341
57	636	10339
58	648	10339
59	658	10323
60	669	10303
61	679	10286
62	690	10268
63	700	10247
64	711	10233
65	721	10212
66	731	10185
67	742	10172
68	752	10155
69	763	10139
70	773	10124
71	784	10110
72	794	10088
73	805	10079
74	815	10063
75	826	10050
76	836	10031
77	847	10013
78	858	10009
79	868	9987
80	879	9975
81	896	10038
82	907	10021
83	917	10004
84	937	10089
85	947	10073
86	958	10054
87	968	10041
88	979	10029
89	991	10028
90	1002	10012
91	1014	10007
92	1024	9991
93	1034	9974
94	1045	9961
95	1056	9950
96	1068	9947
97	1079	9934
98	1089	9912
99	1100	9901
100	1111	9889
101	1121	9873
102	1133	9870
103	1144	9859
104	1154	9836
105	1165	9830
106	1175	9809
107	1194	9868
108	1203	9838
109	1214	9825
110	1224	9805
111	1234	9787
112	1245	9776
113	1255	9756
114	1266	9747
115	1276	9727
116	1287	9714
117	1297	9701
118	1307	9682
119	1319	9676
120	1329	9660
121	1339	9641
122	1352	9640
123	1362	9624
124	1374	9619
125	1384	9600
126	1395	9594
127	1406	9583
128	1416	9562
129	1427	9555
130	1439	9546
131	1451	9542
132	1461	9524
133	1471	9508
134	1492	9561
135	1506	9572
136	1518	9562
137	1529	9551
138	1540	9540
139	1550	9523
140	1561	9513
141	1572	9500
142	1581	9479
143	1592	9468
144	1603	9454
145	1613	9436
146	1624	9426
147	1634	9409
148	1644	9394
149	1654	9376
150	1666	9371
151	1678	9362
152	1689	9353
153	1699	9336
154	1712	9336
155	1722	9318
156	1733	9308
157	1744	9295
158	1753	9275
159	1766	9275
160	1779	9275
161	1790	9261
162	1802	9257
163	1812	9239
164	1823	9227
165	1833	9210
166	1843	9197
167	1854	9182
168	1864	9169
169	1875	9156
170	1886	9144
171	1896	9129
172	1907	9117
173	1917	9102
174	1928	9093
175	1940	9083
176	1950	9067
177	1960	9054
178	1972	9049
179	1984	9039
180	1995	9029
181	2007	9020
182	2017	9008
183	2029	9001
184	2039	8986
185	2048	8965
186	2056	8941
187	2067	8931
188	2079	8925
189	2088	8903
190	2099	8893
191	2110	8882
192	2121	8872
193	2131	8856
194	2143	8850
195	2153	8834
196	2163	8819
197	2174	8809
198	2185	8795
199	2195	8782
200	2206	8769
201	2216	8755
202	2227	8744
203	2237	8730
204	2248	8720
205	2260	8711
206	2270	8696
207	2280	8682
208	2290	8669
209	2302	8661
210	2312	8647
211	2323	8638
212	2333	8622
213	2346	8619
214	2358	8610
215	2372	8613
216	2388	8617
217	2399	8606
218	2408	8590
219	2419	8576
220	2428	8559
221	2439	8549
222	2449	8534
223	2460	8523
224	2471	8513
225	2483	8507
226	2493	8491
227	2504	8481
228	2516	8472
229	2527	8460
230	2538	8449
231	2549	8439
232	2559	8424
233	2571	8416
234	2582	8407
235	2592	8393
236	2604	8384
237	2614	8370
238	2625	8358
239	2639	8357
240	2651	8352
241	2660	8332
242	2671	8323
243	2681	8306
244	2688	8285
245	2698	8269
246	2708	8255
247	2718	8243
248	2728	8230
249	2738	8216
250	2748	8202
251	2758	8187
252	2768	8174
253	2780	8165
254	2791	8154
255	2800	8139
256	2812	8130
257	2822	8116
258	2833	8106
259	2843	8093
260	2855	8084
261	2865	8070
262	2876	8061
263	2887	8049
264	2897	8036
265	2907	8021
266	2918	8011
267	2927	7995
268	2949	8014
269	2959	8001
270	2971	7992
271	2981	7979
272	2995	7978
273	3006	7965
274	3017	7954
275	3026	7939
276	3037	7927
277	3047	7913
278	3057	7902
279	3068	7890
280	3079	7879
281	3090	7869
282	3104	7864
283	3114	7853
284	3125	7840
285	3136	7830
286	3147	7819
287	3157	7806
288	3169	7797
289	3179	7784
290	3190	7773
291	3202	7765
292	3215	7758
293	3226	7748
294	3236	7734
295	3249	7728
296	3260	7718
297	3271	7706
298	3281	7694
299	3292	7683
300	3303	7671
301	3313	7658
302	3324	7648
303	3335	7637
304	3345	7624
305	3356	7613
306	3367	7600
307	3377	7587
308	3388	7577
309	3399	7566
310	3409	7553
311	3421	7545
312	3432	7534
313	3443	7523
314	3454	7512
315	3465	7500
316	3477	7491
317	3486	7477
318	3498	7468
319	3506	7452
320	3518	7441
321	3532	7437
322	3545	7430
323	3555	7418
324	3566	7408
325	3577	7397
326	3587	7384
327	3598	7372
328	3610	7362
329	3619	7348
330	3630	7338
331	3641	7326
332	3651	7313
333	3662	7302
334	3672	7290
335	3682	7277
336	3693	7267
337	3710	7267
338	3720	7255
339	3732	7245
340	3742	7232
341	3753	7222
342	3765	7212
343	3776	7201
344	3787	7190
345	3799	7181
346	3810	7169
347	3823	7162
348	3831	7146
349	3840	7131
350	3852	7123
351	3862	7110
352	3872	7097
353	3889	7098
354	3905	7095
355	3920	7092
356	3936	7089
357	3955	7094
358	3974	7096
359	3990	7093
360	4007	7093
361	4023	7091
362	4039	7089
363	4059	7093
364	4075	7090
365	4091	7087
366	4107	7084
367	4124	7083
368	4144	7087
369	4161	7086
370	4179	7085
371	4195	7082
372	4211	7079
373	4228	7076
374	4242	7071
375	4257	7066
376	4275	7065
377	4293	7065
378	4312	7066
379	4327	7060
380	4348	7064
381	4364	7060
382	4381	7057
383	4396	7052
384	4413	7050
385	4429	7045
386	4458	7061
387	4481	7068
388	4496	7062
389	4510	7055
390	4525	7049
391	4541	7043
392	4556	7037
393	4572	7032
394	4587	7026
395	4604	7022
396	4619	7017
397	4633	7008
398	4649	7003
399	4667	7000
400	4684	6997
401	4700	6991
402	4717	6987
403	4731	6980
404	4757	6989
405	4782	6996
406	4798	6992
407	4814	6985
408	4830	6980
409	4847	6975
410	4863	6969
411	4930	7037
412	4950	7035
413	4967	7030
414	4985	7027
415	5001	7021
416	5025	7026
417	5056	7040
418	5077	7040
419	5091	7031
420	5121	7043
421	5138	7038
422	5154	7030
423	5170	7024
424	5187	7018
425	5203	7011
426	5220	7004
427	5236	6997
428	5251	6989
429	5268	6983
430	5284	6976
431	5300	6969
432	5322	6969
433	5347	6973
434	5368	6972
435	5383	6963
436	5402	6960
437	5417	6951
438	5431	6940
439	5441	6925
440	5452	6911
441	5461	6894
442	5473	6881
443	5484	6867
444	5494	6853
445	5504	6837
446	5515	6822
447	5526	6808
448	5535	6793
449	5546	6778
450	5557	6764
451	5568	6751
452	5578	6736
453	5589	6722
